"행정시별(1)","시점",제주 인구(계) (명),제주 인구(남) (명),제주 인구(여) (명)
"제주특별자치도","2011",583284,292313,290971
"제주특별자치도","2012",592449,297344,295105
"제주특별자치도","2013",604670,303815,300855
"제주특별자치도","2014",621550,312701,308849
"제주특별자치도","2015",641355,322954,318401
"제주특별자치도","2016",661190,333340,327850
"제주특별자치도","2017",678772,342741,336031
"제주특별자치도","2018",692032,349626,342406
"제주특별자치도","2019",696657,351753,344904
"제주특별자치도","2020",697578,351449,346129
"제주특별자치도","2021",697476,350822,346654
"제주특별자치도","2022",699751,352303,347448
